ReturnID,Order_ID ,Return Date,Reason,Refund Amount,Restocked?
RET700001,ORD-103115,08/26/2025,,$114.72,Yes
RET700002,ORD-104147,29-Mar-2026,,$248.11,N
RET700003,ORD-108676,09-Apr-2025,,$224.69,No
RET700004,ORD-106498,05/16/2026,Defective,81.66,No
RET700005,ORD-106105,20-Apr-2025,No Longer Needed,116.18,unknown
RET700006,ORD-103216,07/04/2026,Wrong Item,-274.08,Yes
RET700007,ORD-100128,"November 19, 2024",Late Delivery,143.82,
RET700008,ORD-107389,18-Nov-2025,,,unknown
RET700009,ORD-107005,2026-05-03,Wrong Item,,Yes
RET700010,ORD-106408,"January 18, 2024",Defective,292.09,Y
RET700011,ORD-100011,18-Feb-2024,Changed Mind,,Y
RET700012,ORD-100046,"September 13, 2025",defective,$286.14,
RET700013,ORD-100090,2024-06-04,,$207.72,
RET700014,ORD-108682,2025-11-17,Late Delivery,-248.81,No
RET700015,ORD-108485,2025-03-11,Damaged in Shipping,164.45,Yes
RET700016,ORD-104792,08/04/2025,No Longer Needed,$114.23,unknown
RET700017,ORD-100842,01-Jun-2025,,-50.94,N
RET700018,ORD-102899,2024/05/14,Late Delivery,$226.77,
RET700019,ORD-103573,27-Dec-2025,No Longer Needed,-211.6,No
RET700020,ORD-102474,2025-02-30,defective,-117.77,N
RET700021,ORD-105767,"October 06, 2024",Wrong Item,$292.12,No
RET700022,ORD-108385,17-Apr-2026,No Longer Needed,234.73,Yes
RET700023,ORD-100888,"January 02, 2026",Damaged in Shipping,264.44,unknown
RET700024,ORD-104619,2026/06/16,Defective,190.0,Yes
RET700025,ORD-105978,03/07/2025,defective,-128.26,Yes
RET700026,ORD-108598,05/18/2026,,230.02,No
RET700027,ORD-104554,2025/04/17,WRONG ITEM,$238.58,Y
RET700028,ORD-104486,05/28/2025,Defective,,Y
RET700029,ORD-100225,26/09/2024,defective,$288.19,Yes
RET700030,ORD-101757,2024/07/04,defective,,Yes
RET700031,ORD-104588,2024-03-25,,-201.85,Y
RET700032,ORD-108283,10-Jan-2025,WRONG ITEM,$68.16,unknown
RET700033,ORD-108288,"January 27, 2026",WRONG ITEM,,Y
RET700034,ORD-100008,03/12/2024,,,
RET700035,ORD-106543,08/04/2024,No Longer Needed,$235.41,No
RET700036,ORD-106993,07/27/2024,defective,-107.63,N
RET700037,ORD-105818,2025-02-30,Defective,$68.59,N
RET700038,ORD-103907,04/22/2026,Wrong Item,$167.25,unknown
RET700039,ORD-106152,2024-11-08,,-178.24,Y
RET700040,ORD-106481,04/01/2026,Damaged in Shipping,60.75,
RET700041,ORD-104166,"August 19, 2024",defective,-86.39,Y
