product_id,ProductName,Category ,Unit Cost,Unit Price,Weight,Stock Qty,Supplier Country,Discontinued,Random Internal Code XJ-99
PRD2001,puzzle  1000pc,Toys,98.99,$199.24,4.03,176,U.K.,0,98C72D
PRD2002,Fiction oNvel,Books,185.73,€278.82,247g,203,BR,No,BDF7B8
PRD2003,Water Bottle (New!),Sports & Outdoors,152.14,€306.56,0.79,295,U.K.,No,509EFD
PRD2004,Denim Jacket,Apparel,cost:226.31,352.25,188g,166,Germany,NO,9EB28F
PRD2005, Green Tea Pack,Grocery,283.26,456.34,1.82,-18,India,Yes,4C100F
PRD2006,laptop stand  ,Electronics,48.16,112.89,0.96 kg,466,australia,0,FB50E1
PRD2007,Protein Bar Box,Grocery,71.66,112.5,427g,-19,AU,No,459BBA
PRD2008,Water Bottle,Sports & Outdoors,272.3,438.46,4.99 kg,188,France,Yes,644CCB
PRD2009,Sel-fHelp Guide,Books,54.74,92.09,4.77,94,Britain,0,25E0G1
PRD2010,Cookbook (New!),Books,171.27,$343.5,0.26,443,Brazil,Yes,FA4HB3
PRD2011,Green Tea Pack (New!)  ,Grocery,81.4,185.88,481g,204,Britain,Yes,33D4AE
PRD2012,Shampoo,Beauty,174.94,268.58,77g,365,Deutschland,yes,5AD5AF
PRD2013,Puzzle 1000pc,Toys,262.07,€414.31,0.8,327,UK,Yes,4G87C3
PRD2014,Smartphone Case,Electronics,296.16,705.91,3.93,299,india,Yes,FEH116
PRD2015, Smartphone Case,Electronics,220.16,340.25,4.41 kg,91,ZA,,HAB4AD
PRD2016,Water Bottel,Sports & Outdoors,58.88,129.9,9.3 lbs,294,South Africa,yes,261B09
PRD2017,Running Shorts,APPAREL,44.56,NGN 159402.0,4.23,11,U.K.,Yes,FCHEBG
PRD2018,Sneakers  ,Footwear,95.46,135.76,3.47,-1,Australia,No,4910AD
PRD2019,Desk Orgainzer,Office Supplies,95.82,238.6,403g,408,Australia,No,300937
PRD2020,Face Moisturizer,Beauty,cost:221.23,532.83,5.4 lbs,149,UK,No,B1F3H2
PRD2021,Hoodie  ,Apparel,68.38,121.76,351g,480,Britain,0,280FFB
PRD2022, Fiction Novel,Books,122.13,258.24,128g,-1,AU,NO,5B82FC
PRD2023,Self-Help Guide (New!),Books,152.51,336.56,410g,163,ZA,Yes,33F7FH
PRD2024, Cutlery Set,Home & Kitchen,120.74,€240.81,4.26 kg,452,Britain,0,388GG0
PRD2025,Coffee Maker,Home & Kitchen,231.99,329.65,1.58,99,France,Yes,BF5C19
PRD2014,Fiction Novel,Books,281.58,$428.1,1.27 kg,253,DE,0,256G41
PRD2027,SUNSCREEN  SPF50,Beauty,70.26,93.93,4.7 kg,150,United States,1,31BAEH
PRD2028,Lipstick  Set  ,Beauty,271.56,469.95,344g,105,Brazil,,8A7F1B
PRD2029,Running Shorts,Apparel,cost:67.76,136.76,3.8 kg,133,Canada,Yes,BA05GA
PRD2030,Notebook Set,office supplies,285.68,$488.86,2.0,297,nigeria,Yes,7A7G98
PRD2031, Leather Boots,Footwear,276.82,536.3,3.96 kg,219,germany,,045BCC
PRD2032,Board Game,Toys,259.72,589.69,6.8 lbs,452,IN,NO,8157C5
PRD2033,Sandals,Footwear,85.15,156.95,3.8 kg,-14,United Kingdom,yes,GAG92E
PRD2034,Shmapoo,Beauty,174.66,353.99,422g,39,U.K.,yes,D4BH9A
PRD2035,Green Tea Pack,Grocery,206.58,427.89 USD,7.2 lbs,-11,Australia,NO,G4BC81
PRD2036,Notebook Set (New!),Office Supplies,210.73,333.34,1.08 kg,34,united states,yes,BB783B
PRD2037,Lipstick  Set,Beauty,290.57,629.42,8.1 lbs,331,Brazil,yes,502143
PRD2038,Hoodie,Apparel,139.11,220.56,362g,435,Nigéria,1,DF2E41
PRD2039,Organic  Honey  ,Grocery,75.74,102.82,4.56,423,FR,NO,H40E92
PRD2040,Protein Bar Box  ,Grocery,149.66,320.76,7.9 lbs,157,United Kingdom,0,885DCA
PRD2041,DUMBBELL SET (NEW!),Sports & Outdoors,276.54,478.1,0.66,348,CA,0,6AD846
PRD2042,Leather Boots  ,Footwear,5.41,$10.03,1.29,494,Brazil,yes,FEG9F6
PRD2043,olive oil 1l,Grocery,299.43,648.81,2.15,466,FR,yes,BE3HCB
PRD2044,Cookbook,BOOKS,179.13,301.3,8.2 lbs,155,germany,1,F1G1E1
PRD2045,Green  Tea Pack,Grocery,218.02,$328.71,0.56 kg,479,UK,No,EGE9A1
PRD2046,Children's  Storybook,BOOKS,224.87,€408.42,4.72 kg,217,Deutschland,No,13B236
PRD2047,Green Tea Pack  ,Grocery,182.23,365.76,3.84 kg,-10,nigeria,No,38E7F9
PRD2048,Running Shorts,Apparel,275.6,632.76,2.66 kg,313,UK,Yes,CH32DA
PRD2049,Blneder,Home & Kitchen,165.91,305.81,312g,77,France,Yes,0E30HA
PRD2050,notebook set (new!),Office Supplies,229.19,NGN 771280.0,1.05,114,US,NO,43G10A
PRD2051,Laptop  Stadn,Electronics,235.67,NGN 634353.0,4.22 kg,219,france,1,8F9A00
PRD2052,Dumbbell Kit,SPORTS & OUTDOORS,51.0,69.69,3.86,103,Nigeria,NO,19D403
PRD2053,Cutlery Set,Home & Kitchen,cost:208.13,310.27,1.97,27,Brasil,0,083AH8
PRD2054,RC Car,Toys,220.37,472.74,1.42 kg,243,AU,No,564H7G
PRD2055,Self-Help Guide,books,250.22,540.14,3.89 kg,203,france,0,CG0428
PRD2056,Cookbook (New!),Books,219.73,414.36,4.18 kg,134,NG,yes,6E7DBE
PRD2057,Yoga Mat,Sports & Outdoors,256.42,NGN 730128.0,1.3 lbs,270,Deutschland,1,AA5FCB
PRD2058,Blender,Home & Kitchen,180.18,$259.67,0.38 kg,38,germany,yes,AD827D
PRD2059,Sefl-Help Guide  ,Books,271.23,466.67,340g,432,Nigéria,NO,GG03BA
PRD2060,Dumbbell Set (New!)  ,sports & outdoors,cost:41.35,57.2,161g,139,Canada,0,2306BG
PRD2061,Non-Stick Pan,home & kitchen,23.41,52.76,310g,123,UK,1,A50690
