OrderLineID,Order_ID,product_id,Qty Ordered,Unit Price at Sale,Line Total,Currency
OL500001,ORD-103113,PRD2065,999,388.96,388571.04,GBP
OL500002,ORD-101133,PRD2145,1,86.95,86.95,USD
OL500003,ORD-103187,PRD2157,999,11.16,11148.84,usd
OL500004,ORD-100043,PRD2065,-1,$46.57,,usd
OL500005,ORD-101510,PRD2157,5,421.43,2107.15,USD
OL500006,ORD-105298,PRD2011,0,366.13,,GBP
OL500007,ORD-106133,PRD2108,3,419.74,1259.22,EUR
OL500008,ORD-106748,PRD2206,999,$291.05,290758.95,GBP
OL500009,ORD-103038,PRD2230,2,367.48,734.96,USD
OL500010,ORD-103968,PRD2187,5,92.75,463.75,US Dollar
OL500011,ORD-100018,PRD2088,1,458.87,458.87,usd
OL500012,ORD-107882,PRD2107,3,344.13,1032.39,EUR
OL500013,ORD-100362,PRD2223,-1,88.85,,US Dollar
OL500014,ORD-108762,PRD2168,2,71.42,142.84,GBP
OL500015,ORD-103335,PRD2242,2,166.79,333.58,GBP
OL500016,ORD-106232,PRD2102,1,$85.72,85.72,GBP
OL500017,ORD-103316,PRD2144,-1,$440.69,,usd
OL500018,ORD-108251,PRD2045,1,171.14,171.14,USD
OL500019,ORD-107552,PRD2222,3,$136.37,409.11,NGN
OL500020,ORD-100261,PRD2105,5,31.14,155.7,NGN
OL500021,ORD-106793,PRD2080,1,286.84,286.84,EUR
OL500022,ORD-106661,PRD2010,3,477.26,1431.78,US Dollar
OL500023,ORD-100704,PRD2114,4,154.58,618.32,usd
OL500024,ORD-103403,PRD2226,0,218.14,,NGN
OL500025,ORD-107265,PRD2123,1,80.64,80.64,NGN
OL500026,ORD-102150,PRD2125,0,$27.55,,usd
OL500027,ORD-106445,PRD2241,1,293.63,293.63,US Dollar
OL500028,ORD-102794,PRD2146,5,224.35,1121.75,US Dollar
OL500029,ORD-100560,PRD2078,5,69.18,345.9,EUR
OL500030,ORD-107196,PRD2017,1,$484.6,484.6,GBP
OL500031,ORD-107903,PRD2081,-1,214.6,,GBP
OL500032,ORD-105170,PRD2095,2,190.86,381.72,GBP
OL500033,ORD-107222,PRD2017,5,247.0,1235.0,NGN
OL500034,ORD-103045,PRD2061,3,479.99,1439.97,USD
OL500035,ORD-101093,PRD2191,4,$237.7,950.8,USD
OL500036,ORD-102987,PRD2100,999,7.62,7612.38,EUR
OL500037,ORD-100840,PRD2141,2,312.23,624.46,USD
OL500038,ORD-107908,PRD2164,1,31.64,31.64,EUR
OL500039,ORD-104550,PRD2207,-1,311.4,,US Dollar
OL500040,ORD-108480,PRD2045,3,188.44,565.32,usd
OL500041,ORD-107143,PRD2206,3,448.04,1344.12,US Dollar
OL500042,ORD-108957,PRD2016,4,377.71,1510.84,USD
OL500043,ORD-100458,PRD2093,-1,96.81,,USD
OL500044,ORD-104319,PRD2169,5,51.94,259.7,usd
OL500045,ORD-107850,PRD2135,0,$45.03,,EUR
OL500046,ORD-105796,PRD2060,4,474.88,1899.52,NGN
OL500047,ORD-107258,PRD2078,4,189.93,759.72,US Dollar
OL500048,ORD-107838,PRD2051,4,21.15,84.6,EUR
OL500049,ORD-108979,PRD2080,5,16.72,83.6,GBP
OL500050,ORD-105041,PRD2129,5,69.52,347.6,GBP
OL500051,ORD-102883,PRD2080,2,201.95,403.9,NGN
OL500052,ORD-108719,PRD2024,2,490.54,981.08,US Dollar
OL500053,ORD-106006,PRD2106,4,387.82,1551.28,EUR
OL500054,ORD-103888,PRD2158,1,54.38,54.38,NGN
OL500055,ORD-106998,PRD2144,-1,122.52,,NGN
OL500056,ORD-103748,PRD2030,2,251.59,503.18,NGN
OL500057,ORD-103727,PRD2105,5,333.04,1665.2,NGN
OL500058,ORD-107369,PRD2192,3,456.77,1370.31,NGN
OL500059,ORD-103415,PRD2248,1,333.2,333.2,NGN
OL500060,ORD-104852,PRD2149,1,263.07,263.07,GBP
OL500061,ORD-105489,PRD2192,4,227.01,908.04,NGN
OL500062,ORD-105841,PRD2119,999,$87.58,87492.42,US Dollar
OL500063,ORD-100626,PRD2013,4,441.37,1765.48,EUR
OL500064,ORD-108650,PRD2166,1,108.95,108.95,usd
OL500065,ORD-101635,PRD2067,4,122.62,490.48,EUR
OL500066,ORD-101018,PRD2092,5,291.87,1459.35,EUR
OL500067,ORD-106251,PRD2091,2,323.7,647.4,GBP
OL500068,ORD-105528,PRD2031,2,$415.57,831.14,NGN
OL500069,ORD-104523,PRD2022,4,$71.38,285.52,GBP
OL500070,ORD-105282,PRD2221,5,146.85,734.25,NGN
OL500071,ORD-101076,PRD2073,5,461.85,2309.25,NGN
OL500072,ORD-100191,PRD2237,1,216.29,216.29,US Dollar
OL500073,ORD-101709,PRD2165,5,$88.76,443.8,NGN
OL500074,ORD-105347,PRD2072,1,$170.68,170.68,USD
OL500075,ORD-105734,PRD2177,4,277.59,1110.36,usd
OL500076,ORD-107452,PRD2072,3,365.01,1095.03,USD
OL500077,ORD-105444,PRD2134,4,41.2,164.8,USD
OL500078,ORD-101271,PRD2241,3,160.08,480.24,USD
OL500079,ORD-108193,PRD2020,2,140.48,280.96,NGN
OL500080,ORD-100201,PRD2186,2,404.85,809.7,GBP
OL500081,ORD-107632,PRD2229,1,$102.93,102.93,USD
OL500082,ORD-108488,PRD2065,5,115.32,576.6,GBP
OL500083,ORD-107853,PRD2016,5,399.52,1997.6,GBP
OL500084,ORD-108065,PRD2091,1,423.26,423.26,GBP
OL500085,ORD-101162,PRD2018,2,448.63,897.26,EUR
OL500086,ORD-103304,PRD2030,-1,$312.76,,USD
OL500087,ORD-108837,PRD2225,4,299.19,1196.76,NGN
OL500088,ORD-100618,PRD2178,1,13.33,13.33,USD
OL500089,ORD-100552,PRD2078,2,105.19,210.38,US Dollar
OL500090,ORD-101715,PRD2188,5,332.42,1662.1,GBP
OL500091,ORD-105326,PRD2207,1,217.16,217.16,NGN
OL500092,ORD-106822,PRD2117,1,76.6,76.6,US Dollar
OL500093,ORD-106714,PRD2128,1,234.5,234.5,NGN
OL500094,ORD-101846,PRD2165,1,206.63,206.63,GBP
OL500095,ORD-103773,PRD2222,4,315.74,1262.96,US Dollar
OL500096,ORD-105548,PRD2194,999,289.26,288970.74,NGN
OL500097,ORD-101923,PRD2032,3,27.2,81.6,GBP
OL500098,ORD-108762,PRD2151,1,138.41,138.41,EUR
OL500099,ORD-105348,PRD2241,5,371.23,1856.15,EUR
OL500100,ORD-108610,PRD2207,4,361.54,1446.16,USD
OL500101,ORD-105334,PRD2082,3,$114.16,342.48,GBP
OL500102,ORD-105247,PRD2055,2,62.15,124.3,US Dollar
OL500103,ORD-104304,PRD2008,1,467.6,467.6,EUR
OL500104,ORD-106755,PRD2125,999,76.49,76413.51,NGN
OL500105,ORD-103856,PRD2214,3,399.25,1197.75,usd
OL500106,ORD-107853,PRD2149,999,326.51,326183.49,NGN
OL500107,ORD-103628,PRD2195,1,497.37,497.37,usd
OL500108,ORD-107158,PRD2004,2,294.46,588.92,usd
OL500109,ORD-108217,PRD2046,4,242.59,970.36,NGN
OL500110,ORD-101674,PRD2242,2,447.93,895.86,GBP
OL500111,ORD-103569,PRD2174,3,$87.6,262.8,US Dollar
OL500112,ORD-108347,PRD2204,999,262.65,262387.35,US Dollar
OL500113,ORD-107698,PRD2066,4,334.04,1336.16,US Dollar
OL500114,ORD-105590,PRD2092,999,362.73,362367.27,USD
OL500115,ORD-101661,PRD2214,-1,95.4,,GBP
OL500116,ORD-100430,PRD2106,999,198.53,198331.47,NGN
OL500117,ORD-100085,PRD2120,999,$150.95,150799.05,USD
OL500118,ORD-107799,PRD2049,5,99.4,497.0,USD
